epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3747,0.72114,3.78857,1.12902,0.06218,0.49036,0.15919,0.14457,0.52049,3.60526,0.99742,0.0001668,0.0001668,0.0001668
2,21.216,0.72478,2.86801,1.13424,0.02921,0.76179,0.30305,0.25352,0.58867,3.23644,1.02001,0.000332445,0.000332445,0.000332445
3,26.3444,0.77404,2.09831,1.16548,0.65265,0.2456,0.34695,0.28273,0.71099,2.78706,1.11584,0.000491264,0.000491264,0.000491264
4,31.4496,0.74546,1.65062,1.12124,0.60633,0.48144,0.52968,0.41193,0.675,1.77051,1.10896,0.000522974,0.000522974,0.000522974
5,36.4438,0.74081,1.51086,1.11197,0.62274,0.55715,0.58439,0.45504,0.64237,1.51263,1.07714,0.000511965,0.000511965,0.000511965
6,41.4337,0.68937,1.33166,1.084,0.69936,0.47453,0.54934,0.43043,0.66841,1.80349,1.09496,0.000500956,0.000500956,0.000500956
7,46.4759,0.69528,1.26091,1.07935,0.70122,0.60358,0.64442,0.51276,0.60707,1.34578,1.05795,0.000489947,0.000489947,0.000489947
8,51.4563,0.67611,1.19743,1.0779,0.72907,0.57404,0.64945,0.49515,0.64826,1.16931,1.07977,0.000478938,0.000478938,0.000478938
9,56.4122,0.66811,1.1458,1.07574,0.71275,0.57117,0.64056,0.49721,0.69819,1.29155,1.13335,0.00046793,0.00046793,0.00046793
10,61.3455,0.68945,1.16127,1.08636,0.81369,0.69993,0.79371,0.64158,0.59524,0.96961,1.03391,0.000456921,0.000456921,0.000456921
11,66.3216,0.62432,1.01523,1.04955,0.75024,0.68076,0.72389,0.59371,0.55979,1.1475,1.01598,0.000445912,0.000445912,0.000445912
12,71.3116,0.63111,1.00524,1.04188,0.81342,0.71947,0.8084,0.65838,0.53771,1.12089,0.99783,0.000434903,0.000434903,0.000434903
13,76.3703,0.59957,0.98069,1.03144,0.83402,0.74073,0.80843,0.66416,0.54836,0.87656,1.00558,0.000423894,0.000423894,0.000423894
14,81.4531,0.59256,0.91324,1.03016,0.78281,0.76266,0.82364,0.68884,0.53992,0.97254,0.99264,0.000412886,0.000412886,0.000412886
15,86.521,0.59741,0.9027,1.02773,0.8067,0.77075,0.82554,0.6778,0.51969,0.79755,0.98191,0.000401877,0.000401877,0.000401877
16,91.5944,0.57866,0.85145,1.01102,0.84194,0.80196,0.86677,0.73454,0.49978,0.71937,0.96395,0.000390868,0.000390868,0.000390868
17,96.5792,0.58729,0.84382,1.01852,0.79984,0.77497,0.83664,0.70357,0.53589,0.91802,0.99445,0.000379859,0.000379859,0.000379859
18,101.78,0.57975,0.83174,1.03201,0.84579,0.80764,0.86492,0.71571,0.52464,0.74036,0.98469,0.00036885,0.00036885,0.00036885
19,106.79,0.5546,0.80719,1.00478,0.88126,0.79673,0.87753,0.73943,0.48924,0.72659,0.96669,0.000357842,0.000357842,0.000357842
20,111.766,0.55198,0.78116,1.00594,0.83249,0.81948,0.87365,0.73687,0.47604,0.73393,0.96249,0.000346833,0.000346833,0.000346833
21,116.712,0.56026,0.75826,1.01637,0.85557,0.78577,0.8357,0.7095,0.47412,0.73987,0.95325,0.000335824,0.000335824,0.000335824
22,121.652,0.54329,0.73018,0.99568,0.87713,0.78911,0.84291,0.70356,0.4672,0.84975,0.96084,0.000324815,0.000324815,0.000324815
23,126.706,0.54538,0.72152,1.00198,0.87014,0.87283,0.90878,0.78011,0.45639,0.61676,0.94497,0.000313806,0.000313806,0.000313806
24,131.684,0.54127,0.70816,0.99092,0.88568,0.86781,0.906,0.77925,0.45183,0.60881,0.93682,0.000302798,0.000302798,0.000302798
25,136.651,0.51848,0.67395,0.99049,0.89124,0.84512,0.89491,0.76603,0.46388,0.6623,0.94867,0.000291789,0.000291789,0.000291789
26,141.598,0.52626,0.68364,0.98773,0.86504,0.85279,0.88022,0.75646,0.46564,0.67947,0.95179,0.00028078,0.00028078,0.00028078
27,146.559,0.52137,0.67742,0.99172,0.85981,0.86348,0.89634,0.77224,0.44121,0.64289,0.93765,0.000269771,0.000269771,0.000269771
28,151.554,0.51991,0.65292,0.98825,0.87662,0.83232,0.87827,0.76885,0.43134,0.7365,0.92996,0.000258762,0.000258762,0.000258762
29,156.493,0.49034,0.62694,0.98953,0.8989,0.8596,0.91576,0.79319,0.43639,0.59009,0.92908,0.000247754,0.000247754,0.000247754
30,161.461,0.49273,0.61988,0.9755,0.88176,0.86683,0.90819,0.78859,0.43589,0.5706,0.92682,0.000236745,0.000236745,0.000236745
31,166.428,0.50568,0.62142,0.98284,0.8488,0.86845,0.90196,0.78493,0.44775,0.61258,0.93414,0.000225736,0.000225736,0.000225736
32,171.454,0.5007,0.61992,0.98647,0.90868,0.83255,0.89118,0.77293,0.46085,0.69679,0.94061,0.000214727,0.000214727,0.000214727
33,176.428,0.49218,0.59823,0.97796,0.89946,0.86816,0.909,0.79671,0.4269,0.56566,0.93305,0.000203718,0.000203718,0.000203718
34,181.413,0.50087,0.59113,0.97159,0.90775,0.87492,0.92238,0.79935,0.42555,0.54231,0.92634,0.00019271,0.00019271,0.00019271
35,186.449,0.48867,0.58277,0.97222,0.90827,0.87935,0.91738,0.79985,0.41574,0.52905,0.92424,0.000181701,0.000181701,0.000181701
36,191.486,0.47059,0.55145,0.96246,0.88311,0.85608,0.90079,0.7793,0.41465,0.59663,0.92521,0.000170692,0.000170692,0.000170692
37,196.473,0.46819,0.56303,0.96989,0.87247,0.89195,0.91603,0.79745,0.41013,0.54772,0.91428,0.000159683,0.000159683,0.000159683
38,201.502,0.48321,0.5639,0.96077,0.91372,0.86298,0.92176,0.80287,0.39637,0.5276,0.91138,0.000148674,0.000148674,0.000148674
39,206.516,0.45626,0.54683,0.97019,0.87394,0.86625,0.9053,0.79558,0.4201,0.58954,0.92652,0.000137666,0.000137666,0.000137666
40,211.462,0.44062,0.5057,0.9434,0.87326,0.901,0.91817,0.8014,0.40018,0.51547,0.92097,0.000126657,0.000126657,0.000126657
41,217.414,0.34677,0.50382,0.86766,0.87881,0.87743,0.90614,0.78686,0.40624,0.62979,0.92567,0.000115648,0.000115648,0.000115648
42,222.341,0.34305,0.48327,0.87118,0.87495,0.89575,0.90887,0.7978,0.4023,0.55392,0.9228,0.000104639,0.000104639,0.000104639
43,227.283,0.33606,0.46056,0.8748,0.87592,0.89547,0.90837,0.79862,0.40031,0.55239,0.91995,9.36304e-05,9.36304e-05,9.36304e-05
44,232.31,0.33571,0.45816,0.85607,0.87966,0.89954,0.91181,0.80311,0.39508,0.52155,0.9184,8.26216e-05,8.26216e-05,8.26216e-05
45,237.293,0.321,0.43741,0.85879,0.89762,0.88723,0.9078,0.79551,0.40312,0.53824,0.92189,7.16128e-05,7.16128e-05,7.16128e-05
46,242.212,0.32068,0.44844,0.8554,0.91199,0.86552,0.90817,0.79925,0.38809,0.53354,0.9162,6.0604e-05,6.0604e-05,6.0604e-05
47,247.141,0.31515,0.42358,0.86084,0.90459,0.89302,0.91154,0.8029,0.38639,0.53705,0.91167,4.95952e-05,4.95952e-05,4.95952e-05
48,252.099,0.30327,0.42052,0.85561,0.90321,0.89704,0.91579,0.81096,0.38447,0.5195,0.91028,3.85864e-05,3.85864e-05,3.85864e-05
49,257.033,0.30394,0.41014,0.84859,0.91265,0.89061,0.91409,0.81324,0.37825,0.52488,0.91041,2.75776e-05,2.75776e-05,2.75776e-05
50,262.107,0.29575,0.40153,0.84767,0.90415,0.89833,0.91609,0.81275,0.37634,0.51535,0.90791,1.65688e-05,1.65688e-05,1.65688e-05
