seq,event_id,quest_send_ms,response_latency_ms,reported_latency_ms,status
0,quest_evt_000000,1777521968531.001,2.45,1.79,ok
1,quest_evt_000001,1777521968533.483,1.31,0.87,ok
2,quest_evt_000002,1777521968631.034,1.69,1.15,ok
3,quest_evt_000003,1777521968731.085,4.21,2.6,ok
4,quest_evt_000004,1777521968831.139,1.73,1.06,ok
5,quest_evt_000005,1777521968931.177,2.16,1.33,ok
6,quest_evt_000006,1777521969031.2,2.76,1.66,ok
7,quest_evt_000007,1777521969131.072,3.26,2.04,ok
8,quest_evt_000008,1777521969231.147,1.75,1.11,ok
9,quest_evt_000009,1777521969331.076,1.82,1.22,ok
10,quest_evt_000010,1777521969431.063,1.67,1.02,ok
11,quest_evt_000011,1777521969531.171,1.72,1.08,ok
12,quest_evt_000012,1777521969631.112,1.7,1.14,ok
13,quest_evt_000013,1777521969731.192,4.18,2.64,ok
14,quest_evt_000014,1777521969831.211,1.75,1.13,ok
15,quest_evt_000015,1777521969931.16,1.68,1.06,ok
16,quest_evt_000016,1777521970031.05,3.26,1.92,ok
17,quest_evt_000017,1777521970131.074,4.72,3.17,ok
18,quest_evt_000018,1777521970231.053,4.12,2.52,ok
19,quest_evt_000019,1777521970331.211,4.36,2.78,ok
20,quest_evt_000020,1777521970431.078,4.33,2.72,ok
21,quest_evt_000021,1777521970531.041,2.2,1.27,ok
22,quest_evt_000022,1777521970631.048,3.92,2.57,ok
23,quest_evt_000023,1777521970731.075,3.7,2.4,ok
24,quest_evt_000024,1777521970831.186,1.92,1.19,ok
25,quest_evt_000025,1777521970931.088,2.67,1.75,ok
26,quest_evt_000026,1777521971031.114,4.21,2.63,ok
27,quest_evt_000027,1777521971131.066,4.64,3.04,ok
28,quest_evt_000028,1777521971231.214,4.22,2.65,ok
29,quest_evt_000029,1777521971331.056,4.04,2.52,ok
30,quest_evt_000030,1777521971431.169,1.52,0.95,ok
31,quest_evt_000031,1777521971531.067,3.83,2.46,ok
32,quest_evt_000032,1777521971631.199,3.99,2.5,ok
33,quest_evt_000033,1777521971731.105,1.64,1.09,ok
34,quest_evt_000034,1777521971831.094,5.68,3.43,ok
35,quest_evt_000035,1777521971931.117,1.42,0.9,ok
36,quest_evt_000036,1777521972031.161,1.58,0.99,ok
37,quest_evt_000037,1777521972131.199,1.63,1.04,ok
38,quest_evt_000038,1777521972231.21,4.32,2.72,ok
